State,White,WHITEpercent_cases,Black,BALCKpercent_cases,Latinx,LATINXpercent_cases,Asian,ASIANpercent_cases,AIAN,AINANpercent_cases,NHPI,NHPIpercent_cases,Multiracial,MULTIRACIALpercent_cases,Other,OTHERpercent_cases,Unknown,UNKOWNpercent_cases
WA,3671,1.66,5712,1.66,4231,1.23,473,0.14,126,0.04,106,0.03,251,0.07,114,0.03,8290,2.41
NH,1142,0.08,22,0.08,106,0.38,22,0.08,3,0.01,2,0.01,6,0.02,64,0.23,1535,5.56
CO,7795,1.7,7397,1.7,6387,1.47,207,0.05,130,0.03,44,0.01,357,0.08,331,0.08,12290,2.82
CA,31374,0.18,6031,0.18,87262,2.55,11550,0.34,615,0.02,987,0.03,2268,0.07,23997,0.7,52123,1.53
MN,20549,6.42,28640,6.42,1977,0.44,1075,0.24,232,0.05,48,0.01,396,0.09,464,0.1,4081,0.91
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,State,Race/ethnicity,Cases_percent,,,,,
,,,,,,,,,,,WA,White,1.66,,,,,
,,,,,,,,,,,NH,White,0.08,,,,,
,,,,,,,,,,,CO,White,1.7,,,,,
,,,,,,,,,,,CA,White,0.18,,,,,
,,,,,,,,,,,MN,White,6.42,,,,,
,,,,,,,,,,,WA,Black,1.66,,,,,
,,,,,,,,,,,NH,Black,0.08,,,,,
,,,,,,,,,,,CO,Black,1.7,,,,,
,,,,,,,,,,,CA,Black,0.18,,,,,
,,,,,,,,,,,MN,Black,6.42,,,,,
,,,,,,,,,,,WA,Latinx,1.23,,,,,
,,,,,,,,,,,NH,Latinx,0.38,,,,,
,,,,,,,,,,,CO,Latinx,1.47,,,,,
,,,,,,,,,,,CA,Latinx,2.55,,,,,
,,,,,,,,,,,MN,Latinx,0.44,,,,,
,,,,,,,,,,,WA,Asian,0.14,,,,,
,,,,,,,,,,,NH,Asian,0.08,,,,,
,,,,,,,,,,,CO,Asian,0.05,,,,,
,,,,,,,,,,,CA,Asian,0.34,,,,,
,,,,,,,,,,,MN,Asian,0.24,,,,,
,,,,,,,,,,,WA,AIAN,0.04,,,,,
,,,,,,,,,,,NH,AIAN,0.01,,,,,
,,,,,,,,,,,CO,AIAN,0.03,,,,,
,,,,,,,,,,,CA,AIAN,0.02,,,,,
,,,,,,,,,,,MN,AIAN,0.05,,,,,
,,,,,,,,,,,WA,NHPI,0.03,,,,,
,,,,,,,,,,,NH,NHPI,0.01,,,,,
,,,,,,,,,,,CO,NHPI,0.01,,,,,
,,,,,,,,,,,CA,NHPI,0.03,,,,,
,,,,,,,,,,,MN,NHPI,0.01,,,,,
,,,,,,,,,,,WA,Multiracial,0.07,,,,,
,,,,,,,,,,,NH,Multiracial,0.02,,,,,
,,,,,,,,,,,CO,Multiracial,0.08,,,,,
,,,,,,,,,,,CA,Multiracial,0.07,,,,,
,,,,,,,,,,,MN,Multiracial,0.09,,,,,
,,,,,,,,,,,WA,Other,0.03,,,,,
,,,,,,,,,,,NH,Other,0.23,,,,,
,,,,,,,,,,,CO,Other,0.08,,,,,
,,,,,,,,,,,CA,Other,0.7,,,,,
,,,,,,,,,,,MN,Other,0.1,,,,,
,,,,,,,,,,,WA,Unknown,2.41,,,,,
,,,,,,,,,,,NH,Unknown,5.56,,,,,
,,,,,,,,,,,CO,Unknown,2.82,,,,,
,,,,,,,,,,,CA,Unknown,1.53,,,,,
,,,,,,,,,,,MN,Unknown,0.91,,,,,